aX,aY,aZ,gX,gY,gZ
1.609,-0.119,1.006,0.610,1.953,14.832
1.475,-0.238,0.993,3.235,1.282,7.507
1.169,-0.216,0.959,6.592,0.427,4.883
1.093,-0.363,0.981,4.883,0.854,9.949
0.907,-0.391,1.009,1.892,3.296,18.982
0.348,-0.450,1.086,0.916,5.798,24.902
0.314,-0.432,1.003,2.502,2.991,27.771
0.100,-0.407,1.051,2.563,1.526,31.372
0.138,-0.508,0.994,1.099,3.906,33.081
-0.254,-0.519,1.056,0.183,6.714,25.269
-0.443,-0.256,1.006,0.000,4.150,10.254
-0.589,-0.261,0.993,0.732,-0.549,7.690
-0.720,-0.217,0.978,1.404,-1.526,14.160
-0.648,-0.221,0.999,3.113,0.488,19.531
-0.955,-0.149,0.992,4.028,3.235,21.729
-1.182,-0.097,0.998,0.732,7.812,26.917
-1.303,-0.152,1.049,-0.671,9.155,39.124
-1.288,-0.027,1.051,-0.122,2.747,52.673
-1.569,0.178,0.991,0.061,-2.258,62.927
-1.288,0.184,0.981,2.991,-6.836,69.702
-1.199,0.169,0.986,1.892,-2.563,61.096
-1.169,0.311,0.994,-0.122,-0.732,35.034
-1.114,0.253,0.997,-0.061,0.000,9.155
-1.020,0.142,0.995,0.183,0.488,-8.362
-0.896,0.066,0.999,0.549,0.732,-19.043
-0.838,0.025,1.000,0.793,1.038,-23.315
-0.718,-0.001,1.001,0.610,1.099,-23.010
-0.603,-0.043,1.000,0.732,1.160,-20.020
-0.475,-0.057,0.998,0.793,1.160,-18.066
-0.435,-0.047,1.000,0.854,1.099,-17.578
-0.409,-0.036,1.003,1.160,0.854,-15.930
-0.424,0.003,1.001,1.404,0.854,-10.315
-0.127,-0.013,1.003,1.404,0.732,-3.540
-0.032,-0.022,1.002,0.916,0.793,-0.366
-0.028,-0.021,1.000,0.671,1.038,-0.244
-0.027,-0.018,1.001,0.732,0.977,-0.183
-0.028,-0.019,1.001,0.854,0.793,0.000
-0.026,-0.019,1.000,1.160,0.732,-0.122
-0.026,-0.020,1.001,0.916,0.671,-0.244
-0.024,-0.020,1.000,0.977,0.671,-0.122
-0.023,-0.021,1.001,1.038,0.732,-0.122
-0.023,-0.021,1.002,0.977,0.793,-0.366
-0.022,-0.022,1.002,0.793,0.732,-0.183
-0.022,-0.023,1.001,0.854,0.793,-0.061
-0.023,-0.023,1.000,1.099,0.793,-0.183
-0.023,-0.023,1.001,0.977,0.732,-0.122
-0.023,-0.023,1.001,0.916,0.671,-0.061
-0.023,-0.022,1.001,0.977,0.732,-0.183
-0.024,-0.021,1.001,0.916,0.549,-0.244
-0.025,-0.020,1.001,1.038,0.854,-0.183
-0.026,-0.019,1.000,1.160,0.671,-0.305
-0.028,-0.017,1.001,1.038,0.671,-0.244
-0.028,-0.019,1.001,1.038,0.732,-0.122
-0.030,-0.019,1.001,1.038,0.732,0.061
-0.031,-0.021,1.001,0.916,0.732,-0.122
-0.032,-0.021,1.000,0.916,0.854,-0.122
-0.032,-0.022,1.001,1.160,1.038,-0.061
-0.030,-0.022,1.001,1.038,0.854,-0.061
-0.030,-0.022,1.001,0.977,0.854,-0.122
-0.027,-0.020,1.001,0.977,0.732,-0.061
-0.025,-0.021,1.001,0.916,0.854,-0.061
-0.022,-0.021,1.001,1.038,0.671,0.061
-0.020,-0.021,1.001,1.099,0.610,0.000
-0.019,-0.021,1.001,1.038,0.793,-0.061
-0.019,-0.021,1.000,1.099,0.854,-0.122
-0.019,-0.021,1.001,1.160,0.916,-0.122
-0.021,-0.021,1.001,0.916,0.854,-0.061
-0.021,-0.022,1.001,0.977,0.854,-0.061
-0.025,-0.022,1.002,1.038,0.793,-0.183
-0.026,-0.022,1.001,0.977,0.793,-0.183
-0.028,-0.023,1.001,0.977,0.671,-0.183
-0.029,-0.022,1.001,0.977,0.671,0.000
-0.029,-0.024,1.001,0.977,0.732,-0.122
-0.029,-0.023,1.001,0.977,0.854,-0.183
-0.029,-0.021,1.001,1.099,0.793,-0.122
-0.028,-0.020,1.001,1.099,0.854,-0.183
-0.027,-0.020,1.001,1.099,0.793,0.061
-0.025,-0.019,1.001,1.038,0.854,-0.061
-0.025,-0.020,1.001,0.977,0.732,-0.244
-0.024,-0.021,1.001,0.977,0.732,0.061
-0.023,-0.022,1.001,1.099,0.977,-0.061
-0.022,-0.022,1.001,0.854,0.793,0.000
-0.023,-0.023,1.001,0.854,0.793,0.061
-0.023,-0.022,1.001,0.854,0.916,0.000
-0.023,-0.023,1.001,0.916,1.038,-0.122
-0.024,-0.023,1.000,1.038,0.916,-0.183
-0.023,-0.022,1.001,0.977,0.916,-0.183
-0.025,-0.022,1.001,0.916,0.854,-0.183
-0.026,-0.022,1.002,0.916,0.916,-0.183
-0.026,-0.021,1.001,0.916,0.977,-0.183
-0.026,-0.021,1.001,0.977,0.977,-0.183
-0.026,-0.021,1.001,0.977,0.854,-0.183
-0.026,-0.020,1.001,1.282,0.977,0.000
-0.025,-0.020,1.001,0.977,1.038,0.000
-0.025,-0.021,1.001,0.977,0.916,-0.122
-0.023,-0.022,1.001,0.916,0.793,-0.061
