aX,aY,aZ,gX,gY,gZ
0.039,1.117,0.989,0.793,0.854,-6.348
-0.011,0.794,0.991,0.977,1.343,-35.522
-0.069,0.621,1.019,-0.427,1.831,-69.824
-0.127,0.448,1.000,0.427,2.258,-99.060
-0.198,0.387,0.996,-0.610,2.625,-114.990
-0.261,0.090,1.000,1.526,1.648,-115.540
-0.354,-0.165,1.005,2.319,2.075,-104.736
-0.325,-0.354,1.020,-3.784,1.099,-86.609
-0.199,-0.452,1.008,-1.831,0.977,-57.739
-0.094,-0.634,0.993,4.456,0.122,-25.757
-0.079,-0.842,0.993,5.981,0.183,-6.775
-0.028,-0.923,1.003,3.967,0.061,-9.827
0.034,-1.013,1.015,-0.610,0.427,-22.522
0.057,-0.980,1.013,-3.174,1.221,-36.865
0.028,-0.971,1.008,-0.122,0.671,-48.035
-0.028,-1.009,1.006,2.502,0.610,-51.270
-0.039,-0.911,1.006,3.540,0.610,-44.922
-0.089,-0.844,1.003,2.991,0.610,-30.090
-0.090,-0.833,1.004,1.831,0.732,-12.512
-0.082,-0.804,1.007,2.563,0.610,-0.793
-0.060,-0.663,1.005,3.174,0.488,5.066
-0.048,-0.525,1.008,2.686,0.549,7.629
-0.056,-0.531,0.998,1.892,0.610,8.484
-0.067,-0.521,1.004,1.282,0.671,5.066
-0.077,-0.478,1.009,1.404,0.549,-1.160
-0.078,-0.433,0.997,0.977,0.732,-5.371
-0.076,-0.377,1.003,0.732,0.977,-6.409
-0.092,-0.376,1.001,0.488,0.916,-4.883
-0.108,-0.351,1.002,0.061,0.977,-3.418
-0.128,-0.265,1.001,-0.061,1.221,-3.357
-0.118,-0.186,1.002,-0.793,1.282,-1.465
-0.092,-0.231,1.002,-1.282,1.282,3.052
-0.095,-0.285,1.003,-1.526,1.465,5.615
-0.080,-0.372,1.004,-2.075,1.404,4.639
-0.030,-0.073,1.001,-1.099,1.343,1.587
-0.029,0.016,1.002,1.160,0.977,0.122
-0.031,-0.097,1.001,-0.549,1.099,1.221
-0.026,-0.041,1.001,-1.465,1.221,0.977
-0.029,-0.026,1.001,-0.061,0.916,-0.366
-0.027,-0.022,1.001,-0.122,1.038,-0.366
