aX,aY,aZ,gX,gY,gZ
-0.021,-0.019,1.001,0.854,0.977,-0.244
-0.020,-0.019,1.000,1.038,0.793,-0.244
-0.018,-0.019,1.001,1.099,0.793,-0.244
-0.019,-0.018,1.001,1.038,0.671,-0.305
-0.019,-0.017,1.001,1.099,0.793,-0.244
-0.021,-0.016,1.000,1.038,0.793,-0.244
-0.022,-0.016,1.001,1.038,0.549,0.000
-0.022,-0.017,1.001,1.099,0.854,-0.244
-0.024,-0.017,1.001,1.221,0.916,-0.305
-0.023,-0.018,1.000,0.977,0.793,-0.244
-0.024,-0.020,1.001,1.038,0.732,-0.244
-0.023,-0.019,1.001,0.977,0.671,-0.244
-0.024,-0.019,1.001,0.916,0.610,-0.183
-0.024,-0.019,1.000,1.038,0.793,-0.305
-0.023,-0.017,1.001,1.160,0.793,-0.305
-0.023,-0.018,1.000,0.977,0.610,-0.244
-0.023,-0.018,1.001,1.038,0.854,-0.183
-0.021,-0.019,1.001,1.160,0.916,-0.183
-0.020,-0.018,1.001,1.221,0.854,-0.122
-0.021,-0.019,1.000,1.160,0.854,-0.183
-0.020,-0.017,1.001,1.282,1.038,0.000
-0.021,-0.016,1.001,1.221,0.916,-0.183
-0.022,-0.016,1.001,1.160,0.854,-0.305
-0.022,-0.016,1.001,1.038,0.854,-0.305
-0.023,-0.017,1.001,1.038,0.916,-0.183
-0.023,-0.019,1.001,1.099,0.732,-0.183
-0.023,-0.020,1.001,1.160,0.916,0.061
-0.023,-0.020,1.001,1.160,0.793,-0.122
-0.023,-0.019,1.001,1.099,0.732,-0.244
-0.023,-0.018,1.001,1.038,0.732,-0.305
-0.023,-0.017,1.001,1.099,0.671,-0.244
-0.023,-0.017,1.001,1.099,0.671,-0.183

-0.228,-1.545,1.008,3.052,2.197,-36.560
-0.164,-1.623,1.011,2.014,1.648,-7.446
-0.099,-1.718,1.008,2.258,1.526,23.499
-0.049,-1.765,1.009,1.709,1.892,52.368
-0.084,-1.645,1.008,1.770,2.441,71.350
-0.093,-1.508,1.006,-0.305,2.441,92.224
-0.081,-1.281,1.002,-0.977,1.343,112.305
-0.061,-0.926,1.003,0.610,-0.366,123.535
-0.000,-0.878,1.014,0.610,-2.319,129.456
-0.068,-0.550,1.009,3.418,-3.967,116.394
-0.083,-0.130,1.002,3.113,-3.418,101.501
-0.057,0.027,0.985,-4.150,-1.160,95.398
-0.083,0.467,0.992,-6.409,0.488,81.604
-0.200,0.515,1.012,-0.305,0.671,64.636
-0.267,0.831,1.001,5.432,1.709,57.861
-0.163,0.759,0.983,3.235,0.305,70.313
-0.115,1.245,0.975,-4.456,-2.625,78.796
-0.073,1.524,1.000,-1.404,-5.127,70.801
0.013,1.547,0.998,5.554,-1.770,67.017
-0.047,1.663,0.999,7.568,-3.479,63.110
0.060,1.664,0.998,3.357,-1.221,55.481
0.057,1.591,0.992,2.197,-0.122,32.043
0.033,1.365,0.992,1.892,0.916,-0.061
-0.098,1.070,0.996,1.038,0.916,-27.039
-0.151,0.772,0.998,0.793,1.282,-38.574
-0.159,0.557,1.000,0.732,1.282,-40.283
-0.156,0.402,1.000,0.977,1.282,-36.865
-0.133,0.278,1.000,1.038,0.977,-31.067
-0.150,0.225,1.000,1.282,1.160,-22.644
-0.160,0.240,1.000,1.282,1.404,-13.367
-0.161,0.237,1.001,1.404,1.282,-5.432
-0.192,0.253,0.998,1.282,0.671,0.488
-0.037,0.003,1.004,1.282,0.488,1.648
-0.032,-0.009,1.001,1.282,0.610,0.000
-0.033,-0.005,1.000,1.404,0.793,0.000
-0.032,-0.007,1.000,1.587,0.916,0.244
-0.027,-0.011,1.001,1.648,1.099,0.427
-0.019,-0.020,1.001,1.343,1.099,0.305
-0.017,-0.024,1.002,1.282,1.038,0.061
-0.016,-0.026,1.000,1.221,1.038,-0.061
-0.017,-0.025,1.000,1.221,0.854,-0.061
-0.021,-0.021,1.001,1.282,0.793,-0.183
-0.023,-0.018,1.002,1.038,1.099,-0.122
-0.024,-0.017,1.001,1.038,0.854,0.061
-0.023,-0.019,1.001,1.099,0.977,0.000
-0.020,-0.021,1.001,1.221,0.977,0.000
